# species age m.loglength m.select sd.loglength
1 1 18.297 0.065 0.076
1 2 22.681 0.118 0.076
1 3 25.059 0.317 0.076
1 4 27.291 0.533 0.076
1 5 29.132 0.737 0.076
1 6 30.621 0.857 0.076
1 7 32.847 0.951 0.076
1 8 33.308 1 0.076
1 9 34.434 0.988 0.076
1 10 34.452 0.986 0.076
1 11 34.452 0.986 0.076
1 12 35.025 0.986 0.076
1 13 35.243 0.986 0.076
1 14 35.243 0.986 0.076
2 1 21.724 0.038 0.12
2 2 29.222 0.145 0.06
2 3 31.706 0.328 0.04
2 4 32.918 0.585 0.04
2 5 33.924 0.803 0.04
2 6 34.897 0.96 0.04
2 7 35.718 0.993 0.04
2 8 36.591 0.991 0.04
2 9 37.154 0.99 0.04
2 10 37.624 0.987 0.04
2 11 37.997 0.985 0.04
2 12 38.68 0.984 0.04
2 13 39.086 0.984 0.04
2 14 40.086 0.984 0.04
3 1 17.53 0 0.1
3 2 22.307 0.034 0.1
3 3 23.797 0.068 0.08
3 4 28.071 0.145 0.05
3 5 30.341 0.366 0.03
3 6 31.423 0.498 0.03
3 7 32.374 0.585 0.03
3 8 33.166 0.755 0.03
3 9 33.809 0.902 0.03
3 10 34.446 0.947 0.03
3 11 34.796 0.963 0.03
3 12 35.114 0.979 0.03
3 13 35.63 1 0.03
3 14 35.861 1 0.03
