 iter	year	species	age	number	catch
           1           1           1           0   7530944.00                  NaN
           1           1           1           1   16354547.0       38061.8594    
           1           1           1           2   14850651.0       75449.0781    
           1           1           1           3   12218363.0       92181.7578    
           1           1           1           4   8922094.00       78913.6719    
           1           1           1           5   6220899.50       61644.6250    
           1           1           1           6   4793123.50       52431.7578    
           1           1           1           7   3601764.75       42112.7461    
           1           1           1           8   2696838.50       32761.6367    
           1           1           1           9   1940495.50       24216.7070    
           1           1           1          10   1057978.75       13489.2119    
           1           1           1          11   808519.250       10286.2900    
           1           1           1          12   520148.969       6798.49268    
           1           1           1          13   302716.750       3949.46631    
           1           1           1          14   228815.359       3003.30835    
           1           1           1          15   172683.469       2281.89941    
           1           1           1          16   139658.484       1854.40662    
           1           1           1          17   79260.4453       1051.17578    
           1           1           1          18   63037.8008       836.984558    
           1           1           1          19   40331.0469       536.576416    
           1           1           1          20   27263.8906       362.939941    
           1           2           1           0   7367148.50                  NaN
           1           2           1           1   11595433.0       1576.54272    
           1           2           1           2   13152152.0       4081.23511    
           1           2           1           3   11748085.0       5455.06641    
           1           2           1           4   9550888.00       5118.25146    
           1           2           1           5   6929154.50       4244.47363    
           1           2           1           6   4809931.50       3212.41260    
           1           2           1           7   3689567.00       2626.60034    
           1           2           1           8   2764272.75       2034.25867    
           1           2           1           9   2065871.75       1565.01733    
           1           2           1          10   1484487.50       1146.51514    
           1           2           1          11   808611.062       624.767090    
           1           2           1          12   617977.312       488.941711    
           1           2           1          13   397005.406       313.862549    
           1           2           1          14   231064.172       184.138840    
           1           2           1          15   174584.375       142.819977    
           1           2           1          16   131706.656       107.958900    
           1           2           1          17   106482.656       87.4787369    
           1           2           1          18   60439.1055       49.6208115    
           1           2           1          19   48066.5469       39.4845695    
           1           2           1          20   30749.7793       25.2618027    
           1           3           1           0   32607130.0                  NaN
           1           3           1           1   11342986.0       1617.25500    
           1           3           1           2   9467432.00       2965.95898    
           1           3           1           3   10716470.0       5018.11816    
           1           3           1           4   9560679.00       5137.54004    
           1           3           1           5   7765772.00       4781.11768    
           1           3           1           6   5629356.50       3852.21948    
           1           3           1           7   3905563.25       2842.85107    
           1           3           1           8   2994727.75       2259.40698    
           1           3           1           9   2243205.25       1733.20068    
           1           3           1          10   1676088.38       1323.19128    
           1           3           1          11   1204321.50       952.449890    
           1           3           1          12   655902.625       531.906372    
           1           3           1          13   501235.312       406.516510    
           1           3           1          14   321997.344       262.518585    
           1           3           1          15   187369.766       157.126892    
           1           3           1          16   141552.797       119.531174    
           1           3           1          17   106786.508       90.2178192    
           1           3           1          18   86334.1094       72.9921112    
           1           3           1          19   49003.0977       41.4172821    
           1           3           1          20   38971.4844       32.9491386    
           1           4           1           0   9843683.00                  NaN
           1           4           1           1   50207036.0       6580.45117    
           1           4           1           2   9261532.00       2757.30762    
           1           4           1           3   7715347.00       3346.79443    
           1           4           1           4   8722101.00       4437.61084    
           1           4           1           5   7774937.50       4514.41748    
           1           4           1           6   6311103.00       3932.49121    
           1           4           1           7   4571585.50       3115.43384    
           1           4           1           8   3170655.75       2224.92432    
           1           4           1           9   2430602.25       1752.81763    
