 iter	year	blu_rec	mac_rec	her_rec	blu_regime	mac_regime	her_regime
           1           1   1075845.12       5388157.50       93587152.0               1           1           1
           1           2   1052447.50       5374883.50       8790710.00               1           1           1
           1           3   4658147.50       5509254.00       36528608.0               1           1           1
           1           4   1406240.75       5337972.50       36494132.0               1           1           1
           1           5   2466944.75       5661333.50       14026806.0               1           1           1
           1           6   2522786.75       5764162.00       9209077.00               1           1           1
           1           7   2221963.75       6286846.50       3830519.75               1           1           1
           1           8   2776401.25       6860036.50       3168022.75               1           1           1
           1           9   10609997.0       8266343.00       100137576.               1           1           1
           1          10   3434702.00       8231290.50       2283182.00               1           1           1
           1          11   3292261.25       7761098.50       4636412.00               1           1           1
           1          12   3400245.25       7792953.00       3549776.75               1           1           1
           1          13   3249825.50       8012000.00       67603568.0               1           1           1
           1          14   3178292.75       7715608.00       6954030.50               1           1           1
           1          15   10693620.0       6576781.00       9491725.00               1           1           1
           1          16   3587924.00       6618664.50       3098541.00               1           1           1
           1          17   4243144.00       6455754.50       15035672.0               1           1           1
           1          18   5110358.50       6700047.50       7837697.00               1           1           1
           1          19   4202111.50       6628636.00       61316512.0               1           1           1
           1          20   4281270.50       7037163.50       1832742.50               1           1           1
           1          21   15286942.0       6155918.50       2341978.75               1           1           1
           1          22   5316795.50       5275391.50       5588876.00               1           1           1
           1          23   6470581.00       5988045.00       6769411.50               1           1           1
           1          24   4870539.00       6095659.00       39179592.0               1           1           1
           1          25   4162696.75       6933749.00       9558670.00               1           1           1
           1          26   3855660.50       6435759.00       6083568.50               1           1           1
           1          27   13882573.0       5907579.00       15979227.0               1           1           1
           1          28   4500312.00       5037021.00       28182256.0               1           1           1
           1          29   4369553.00       4946570.00       110618368.               1           1           1
           1          30   4095121.25       4962367.50       5724582.00               1           1           1
